endTime,artistName,trackName,msPlayed
12/31/2019 01:45,DaBaby,VIBEZ,144935
12/31/2019 01:48,Playboi Carti,R.I.P.,192026
12/31/2019 01:51,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),222586
12/31/2019 01:54,Denzel Curry,RICKY,147866
12/31/2019 01:57,Doja Cat,Tia Tamera (feat. Rico Nasty),211013
12/31/2019 02:00,Ski Mask The Slump God,Catch Me Outside,145760
12/31/2019 02:02,JID,151 Rum,156780
12/31/2019 02:04,Kanye West,Follow God,104591
12/31/2019 02:08,ScHoolboy Q,X (with 2 Chainz & Saudi),267426
12/31/2019 02:12,Vince Staples,Blue Suede,218040
12/31/2019 02:15,BROCKHAMPTON,ST. PERCY,210773
12/31/2019 02:19,Drake,Nonstop,238614
12/31/2019 02:22,Roddy Ricch,The Box,196652
12/31/2019 02:24,Joey Purp,Elastic,126385
12/31/2019 02:28,Soulja Boy,Pretty Boy Swag,236093
12/31/2019 02:29,Danny Towers,Monkey Nuts,61547
12/31/2019 02:31,Danny Towers,Tarantula,131928
12/31/2019 02:34,Danny Towers,Monkey Nuts,129024
12/31/2019 02:35,Danny Towers,Derby,110080
12/31/2019 02:37,Danny Towers,Dope & A Baby,89364
12/31/2019 02:40,Danny Towers,Sunday,174315
12/31/2019 02:42,Danny Towers,Who He,125688
12/31/2019 02:44,Danny Towers,Toothpick,139200
12/31/2019 02:47,Danny Towers,Sucka,176808
12/31/2019 02:49,Danny Towers,No Rewind,127680
12/31/2019 02:52,Danny Towers,Paraplegic,197304
12/31/2019 02:54,Danny Towers,Booby Trap,99432
12/31/2019 02:57,Danny Towers,Blitz,198432
12/31/2019 02:59,Danny Towers,Undone,113928
12/31/2019 03:02,Danny Towers,Monkey Nuts,129024
12/31/2019 03:03,Danny Towers,30's & A Mac,97800
12/31/2019 03:05,Danny Towers,Who He,125688
12/31/2019 03:07,LUCKI,4 The Betta,132115
12/31/2019 03:10,Shakewell,Boofpack,171755
12/31/2019 03:12,Warhol.SS,Top Off,128000
12/31/2019 03:16,Valee,Womp Womp,226533
12/31/2019 03:18,$NOT,GOSHA,120000
12/31/2019 03:19,Danny Towers,30's & A Mac,97800
12/31/2019 03:22,Ramirez,P.O.P.,143448
12/31/2019 03:25,PlayThatBoiZay,POISON KLAN,212800
12/31/2019 03:28,Pouya,Aftershock,179783
12/31/2019 03:29,Lil Tracy,Shame,34732
12/31/2019 03:29,$NOT,Billy Boy,11340
12/31/2019 03:32,Aer,Floats My Boat,206160
12/31/2019 03:35,Bazzi,Star,169871
12/31/2019 03:38,Phoenix,1901,193106
12/31/2019 03:42,Childish Gambino,Sober,252026
12/31/2019 03:45,Sublime,Santeria,182746
12/31/2019 03:48,Jimmy Eat World,The Middle,165853
12/31/2019 03:52,Paramore,Still into You,216013
12/31/2019 03:55,MGMT,Electric Feel,229640
12/31/2019 04:00,Passion Pit,Take a Walk,264493
12/31/2019 04:04,Phoenix,Lisztomania,241640
12/31/2019 04:06,Rex Orange County,Loving Is Easy,155720
12/31/2019 04:09,The Hunna,Bonfire,177653
12/31/2019 04:13,Miami Horror,Holidays (feat. Alan Palomo),268233
12/31/2019 04:17,The Killers,When You Were Young,220426
12/31/2019 04:21,The All-American Rejects,Move Along,238880
12/31/2019 04:24,WALK THE MOON,Tightrope,209186
12/31/2019 04:29,MGMT,Kids,302840
12/31/2019 04:36,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),373626
12/31/2019 04:39,Fountains Of Wayne,Stacy's Mom,197986
12/31/2019 04:42,Paramore,Misery Business,211520
12/31/2019 04:45,Anarbor,Can't Help It,190913
12/31/2019 04:48,Grizfolk,Hymnals,194346
12/31/2019 04:52,M83,Midnight City,241440
12/31/2019 04:56,Tiësto,Jackie Chan,215759
12/31/2019 05:00,Fall Out Boy,"Sugar, We're Goin Down",229093
12/31/2019 05:02,Vampire Weekend,A-Punk,137760
12/31/2019 05:05,David Guetta,Memories (feat. Kid Cudi),210093
12/31/2019 05:08,Chance the Rapper,Favorite Song,185062
12/31/2019 05:12,Weezer,Beverly Hills,196093
12/31/2019 05:16,Estelle,American Boy,284733
12/31/2019 05:20,Jidenna,Bambi,250000
12/31/2019 05:24,Toro y Moi,Low Shoulders,215960
12/31/2019 05:28,Franz Ferdinand,Take Me Out,237026
12/31/2019 05:31,Modest Mouse,Float On,208466
12/31/2019 05:34,Social House,Magic In The Hamptons (feat. Lil Yachty),164640
12/31/2019 05:37,blink-182,All The Small Things,167066
12/31/2019 05:41,Nappy Roots,Good Day,261773
12/31/2019 05:44,Weezer,Island In The Sun,200306
12/31/2019 05:49,BROCKHAMPTON,SWEET,274274
12/31/2019 05:52,Boys Like Girls,The Great Escape,206520
12/31/2019 05:54,A Boogie Wit da Hoodie,My Shit,128156
12/31/2019 05:58,Grouplove,Tongue Tied,218013
12/31/2019 06:02,Guster,Satellite,273160
12/31/2019 06:06,Bazanji,Beachside,227003
12/31/2019 06:09,Jackson Breit,679 & No Diggity,182000
12/31/2019 06:14,Nirvana,Smells Like Teen Spirit,301920
12/31/2019 06:17,Bowling For Soup,1985,193000
12/31/2019 06:20,mike.,This Feeling,191764
12/31/2019 06:23,Counting Crows,"Accidentally In Love - From ""Shrek 2"" Soundtrack",188386
12/31/2019 06:27,Healy,Reckless,237157
12/31/2019 06:30,Van Morrison,Brown Eyed Girl,183306
12/31/2019 06:32,blink-182,What's My Age Again?,148360
12/31/2019 06:36,Shaggy,It Wasn't Me,227600
12/31/2019 06:41,Chance the Rapper,Cocoa Butter Kisses,307187
12/31/2019 06:44,Anarbor,You And I,177760
12/31/2019 06:47,3OH!3,DONTTRUSTME,192573
12/31/2019 06:50,The Strokes,Last Nite,193373
12/31/2019 06:54,The Killers,Mr. Brightside,222586
12/31/2019 06:57,Joey Bada$$,Survival Tactics,202784
12/31/2019 07:01,Fitz and The Tantrums,Out of My League,209386
12/31/2019 07:02,Vacationer,Everyone Knows,60004
12/31/2019 07:04,Vacationer,Everyone Knows,15780
12/31/2019 07:08,Mura Masa,Terrible Love,241600
12/31/2019 07:11,Louis The Child,Breaking News (with RAYE),213245
12/31/2019 07:14,Flume,How To Build A Relationship,184816
12/31/2019 07:18,slowthai,Gorgeous,255721
12/31/2019 07:19,RL Grime,I Wanna Know,58167
12/31/2019 07:23,Isaiah Rashad,Brad Jordan (feat. Michael Da Vinci),248488
12/31/2019 07:31,Blu,I Am...,443453
12/31/2019 07:35,Blu,Murder Case,254026
12/31/2019 07:39,A$AP Rocky,Ghetto Symphony (feat. Gunplay & A$AP Ferg),237733
12/31/2019 07:44,The Pharcyde,4 Better Or 4 Worse,303066
12/31/2019 07:48,Madvillain,Rhinestone Cowboy,239826
12/31/2019 07:52,A Tribe Called Quest,Jazz (We've Got),250240
12/31/2019 07:57,Nas,N.Y. State of Mind,293973
12/31/2019 07:58,Isaiah Rashad,Hereditary,86587
12/31/2019 08:02,A$AP Rocky,LVL,220133
12/31/2019 08:10,Freddie Gibbs,"Piñata (feat. Domo Genesis, G-Wiz, Casey Veggies, Sulaiman, Meechy Darko, Mac Miller)",513706
12/31/2019 08:14,A$AP Rocky,I Come Apart (feat. Florence Welch),217920
12/31/2019 08:17,A$AP Rocky,PMW (All I Really Need) (feat. ScHoolboy Q),234772
12/31/2019 08:20,Freddie Gibbs,Harold’s,169106
12/31/2019 08:22,A Tribe Called Quest,Skypager,132226
12/31/2019 08:26,Freddie Gibbs,Bomb (feat. Raekwon),223760
12/31/2019 08:30,Blu,Greater Love,254933
12/31/2019 08:59,The Pharcyde,Otha Fish,65857
