,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
95,95,12/30/2019 01:42,The Internet,Roll (Burbank Funk),21920,01bfHCsUTwydXCHP1VoLlI,191027.0,1.0,1.0,4.0,0.185,0.784,0.682,6.25e-06,0.106,-8.614,0.0962,0.967,112.512
96,96,12/30/2019 01:43,Toro y Moi,Freelance,30070,1zbLpabwKzj404PWNEKtjL,225893.0,9.0,0.0,4.0,0.014,0.975,0.475,0.0111,0.165,-7.067,0.123,0.867,115.009
97,97,12/30/2019 01:45,Jay Rock,WIN,43530,69WMdZSqdQwFgLVpbMsZ2J,215227.0,1.0,1.0,4.0,0.0152,0.879,0.595,0.0,0.391,-2.936,0.0889,0.355,125.994
98,98,12/30/2019 01:47,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",15050,0ZNrc4kNeQYD9koZ3KvCsy,237240.0,1.0,1.0,4.0,0.00552,0.745,0.346,0.0,0.0881,-7.709,0.331,0.112,203.911
99,99,12/30/2019 01:47,Playboi Carti,New Choppa,2850,30sc425JEvj3tgmGAKORea,126043.0,0.0,0.0,4.0,0.174,0.773,0.605,0.0,0.329,-4.223,0.0579,0.425,128.16
100,100,12/30/2019 01:47,JPEGMAFIA,Baby I'm Bleeding,2200,5pUudDDuJgIpgKIGk2zmxv,152246.0,1.0,1.0,4.0,0.195,0.574,0.859,0.0,0.416,-2.401,0.193,0.828,171.392
101,101,12/30/2019 01:47,Vince Staples,Yeah Right,9710,35tWhD29yvWwB0IDRr6zsL,188947.0,1.0,1.0,4.0,0.018,0.734,0.468,0.0,0.382,-9.029,0.0912,0.285,118.001
102,102,12/30/2019 01:47,BROCKHAMPTON,NEW ORLEANS,4010,5kkxyqYSQrnHpfsmkjKi81,243280.0,11.0,0.0,4.0,0.232,0.639,0.815,0.0,0.299,-4.962,0.252,0.4,159.903
103,103,12/30/2019 01:47,Lil Uzi Vert,Futsal Shuffle 2020,17460,2Ec33AVlkTTq8BHFgBTdQs,198913.0,7.0,0.0,4.0,0.0327,0.881,0.457,0.0,0.231,-8.191,0.156,0.296,136.97
104,104,12/30/2019 01:48,Injury Reserve,Oh Shit!!!,5820,6A3hUBzQ0k6chtNJlGxDQn,256253.0,8.0,1.0,4.0,0.0693,0.593,0.764,0.0,0.134,-5.905,0.274,0.377,150.16
