0,1,2,3,4,Cloud Cover,Maximum Temperature,Minimum Temperature,Precipitation,Relative Humidity,Snow Depth,Temperature,Visibility,Wind Chill,Wind Gust,Wind Speed
1.0,0.0,0.0,0.0,0.0,14.5,82.1,51.0,0.0,55.28,0.0,67.4,9.9,10.0,10.0,8.0
1.0,0.0,0.0,0.0,0.0,23.5,86.0,55.8,0.0,49.93,0.0,72.6,10.0,10.0,10.0,7.9
0.0,0.0,1.0,0.0,0.0,54.4,87.1,62.6,0.0,62.56,0.0,75.1,10.0,10.0,10.0,13.7
0.0,0.0,1.0,0.0,0.0,71.5,86.0,69.9,0.0,60.24,0.0,78.2,9.9,10.0,10.0,11.2
0.0,0.0,1.0,0.0,0.0,46.2,90.8,67.8,0.0,56.15,0.0,80.1,10.0,10.0,10.0,11.1
0.0,0.0,1.0,0.0,0.0,34.0,92.0,69.0,0.0,54.6,0.0,81.3,9.9,10.0,10.0,11.2
0.0,0.0,1.0,0.0,0.0,31.9,93.4,69.9,0.0,51.15,0.0,83.1,10.0,10.0,10.0,10.2
0.0,0.0,1.0,0.0,0.0,38.0,91.1,74.7,0.0,55.7,0.0,83.4,9.9,10.0,29.6,20.6
0.0,0.0,0.0,1.0,0.0,62.3,82.9,69.2,0.46,57.13,0.0,76.7,9.7,10.0,24.2,16.8
0.0,0.0,1.0,0.0,0.0,55.6,85.8,58.8,0.0,51.05,0.0,73.1,9.9,10.0,20.8,11.4
0.0,0.0,1.0,0.0,0.0,46.9,84.7,63.9,0.0,55.34,0.0,73.6,9.9,10.0,17.2,12.6
0.0,0.0,0.0,1.0,0.0,52.8,71.0,60.9,0.21,75.71,0.0,67.2,9.1,10.0,10.0,8.0
0.0,0.0,0.0,1.0,0.0,70.6,77.0,65.8,0.12,82.86,0.0,69.9,6.5,10.0,10.0,7.8
0.0,0.0,0.0,1.0,0.0,74.9,80.8,65.1,0.43,76.9,0.0,71.1,9.9,10.0,35.6,10.9
0.0,0.0,0.0,1.0,0.0,72.0,79.0,65.8,0.31,78.57,0.0,69.8,9.8,10.0,27.7,7.9
0.0,0.0,0.0,1.0,0.0,65.0,82.9,65.0,0.04,74.5,0.0,71.1,9.2,10.0,10.0,10.2
0.0,0.0,0.0,1.0,0.0,47.7,92.8,64.0,0.21,70.77,0.0,74.9,9.9,10.0,41.4,11.1
0.0,0.0,0.0,1.0,0.0,64.5,80.8,70.0,0.51,80.79,0.0,74.6,9.1,10.0,36.7,17.4
0.0,0.0,1.0,0.0,0.0,47.9,89.0,65.7,0.0,66.12,0.0,76.5,8.7,10.0,10.0,6.9
0.0,0.0,1.0,0.0,0.0,40.5,89.8,61.9,0.0,52.83,0.0,77.8,9.9,10.0,23.0,14.7
0.0,0.0,1.0,0.0,0.0,32.9,87.1,65.7,0.0,53.67,0.0,77.0,9.9,10.0,10.0,10.0
0.0,0.0,1.0,0.0,0.0,50.3,84.8,69.9,0.0,64.73,0.0,76.9,10.0,10.0,25.3,17.0
0.0,0.0,0.0,1.0,0.0,67.3,88.0,73.4,0.13,74.17,0.0,77.8,9.9,10.0,33.3,12.7
0.0,0.0,1.0,0.0,0.0,51.0,92.8,72.8,0.0,67.52,0.0,81.5,9.7,10.0,10.0,10.0
0.0,0.0,0.0,1.0,0.0,61.2,85.9,73.8,0.08,69.37,0.0,79.8,9.7,10.0,20.8,10.3
0.0,0.0,0.0,1.0,0.0,59.3,88.9,74.0,0.19,71.96,0.0,80.6,9.6,10.0,28.1,20.7
0.0,0.0,1.0,0.0,0.0,69.8,88.9,74.8,0.0,58.72,0.0,80.3,9.9,10.0,24.2,18.0
0.0,0.0,1.0,0.0,0.0,57.9,87.9,69.9,0.0,58.85,0.0,78.1,10.0,10.0,18.3,13.7
0.0,0.0,0.0,1.0,0.0,50.4,83.7,67.9,0.02,69.26,0.0,73.6,10.0,10.0,10.0,16.1
0.0,0.0,1.0,0.0,0.0,49.8,85.8,65.7,0.0,66.48,0.0,74.8,9.9,10.0,10.0,8.9
0.0,0.0,0.0,1.0,0.0,72.3,79.0,67.9,0.42,64.02,0.0,74.3,9.9,10.0,25.3,16.0
0.0,0.0,0.0,1.0,0.0,56.0,81.1,62.1,0.38,76.62,0.0,70.4,9.5,10.0,25.3,15.7
0.0,0.0,1.0,0.0,0.0,26.2,87.1,60.1,0.0,72.39,0.0,73.8,9.9,10.0,10.0,6.8
0.0,0.0,1.0,0.0,0.0,36.4,92.0,64.0,0.0,71.76,0.0,77.9,9.9,10.0,24.2,15.0
0.0,0.0,1.0,0.0,0.0,57.0,91.8,71.9,0.0,64.62,0.0,80.1,9.9,10.0,22.9,18.1
0.0,0.0,1.0,0.0,0.0,38.7,82.1,64.9,0.0,68.69,0.0,73.1,10.0,10.0,20.8,13.7
0.0,0.0,0.0,1.0,0.0,70.6,83.0,64.1,0.16,85.52,0.0,70.3,9.9,10.0,19.7,11.3
0.0,0.0,0.0,1.0,0.0,62.0,80.1,67.9,1.11,92.08,0.0,73.0,8.9,10.0,10.0,13.6
0.0,0.0,1.0,0.0,0.0,54.6,81.0,65.0,0.0,79.12,0.0,72.6,9.9,10.0,10.0,8.1
0.0,0.0,1.0,0.0,0.0,47.6,83.9,62.9,0.0,72.66,0.0,73.4,9.4,10.0,10.0,12.5
0.0,0.0,1.0,0.0,0.0,49.7,85.0,62.9,0.0,66.16,0.0,75.8,10.0,10.0,20.8,15.9
0.0,0.0,1.0,0.0,0.0,48.6,92.9,65.1,0.0,68.34,0.0,80.0,10.0,10.0,20.8,13.7
0.0,0.0,0.0,1.0,0.0,52.2,80.1,65.8,0.07,77.86,0.0,73.9,9.7,10.0,17.2,13.0
0.0,0.0,0.0,1.0,0.0,41.2,85.0,58.9,0.01,73.7,0.0,71.3,10.0,10.0,10.0,11.3
0.0,0.0,0.0,1.0,0.0,57.6,80.2,64.2,0.05,83.4,0.0,71.2,9.9,10.0,10.0,12.6
0.0,0.0,1.0,0.0,0.0,46.5,82.2,59.0,0.0,69.71,0.0,71.3,9.9,10.0,10.0,10.0
0.0,0.0,1.0,0.0,0.0,44.0,84.0,62.8,0.0,66.52,0.0,74.2,10.0,10.0,10.0,6.9
0.0,0.0,0.0,1.0,0.0,65.3,83.0,71.0,0.02,76.95,0.0,76.0,9.9,10.0,27.4,18.2
